J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,9.0,0.14704659,0.00253,2.064e-12,310.0,13580.0
9.0,9.0,0.14727759,0.001261,1.081e-12,309.0,7112.0
9.0,8.0,0.14762205,1.18e-8,1.858e-14,309.0,122.0
9.0,10.0,0.14844903,8.88e-5,9.797e-13,307.0,6446.0
9.0,8.0,0.14955895,9.688e-6,1.551e-13,305.0,1020.0
9.0,9.0,0.14974393,0.0002002,9.371e-13,304.0,6166.0
9.0,8.0,0.15015719,3.136e-5,6.577e-13,303.0,4327.0
9.0,9.0,0.15060827,3.244e-5,9.964e-13,302.0,6556.0
9.0,8.0,0.15105206,1.271e-5,4.749e-13,302.0,3125.0
9.0,10.0,0.15134366,0.002268,8.585e-13,301.0,5648.0
9.0,10.0,0.15176831,6.985e-5,1.064e-12,300.0,7000.0
9.0,9.0,0.15186627,1.618e-9,5.784e-13,300.0,3806.0
9.0,8.0,0.15221711,3.137e-10,7.827e-14,299.0,515.0
9.0,8.0,0.15327281,1.269e-5,4.844e-13,297.0,3187.0
9.0,9.0,0.15328238,3.971e-5,1.623e-12,297.0,10678.0
9.0,8.0,0.15384098,2.03e-6,4.697e-13,296.0,3090.0
9.0,8.0,0.15424741,2.182e-5,1.728e-12,295.0,11369.0
9.0,10.0,0.15487071,0.000269,2.725e-12,294.0,17929.0
9.0,10.0,0.15492038,1.656e-6,2.945e-12,294.0,19376.0
9.0,9.0,0.15553685,0.0003515,1.738e-12,293.0,11435.0
9.0,9.0,0.15643217,7.805e-5,4.608e-13,291.0,3032.0
9.0,8.0,0.15677253,3.004e-5,9.78e-13,291.0,6435.0
9.0,10.0,0.15743684,0.0001101,1.115e-12,289.0,7336.0
9.0,10.0,0.15785693,5.931e-6,1.042e-12,289.0,6856.0
9.0,9.0,0.15797266,3.896e-6,2.882e-12,288.0,18962.0
9.0,8.0,0.15797995,1.79e-5,3.708e-13,288.0,2440.0
9.0,9.0,0.15865064,7.628e-5,7.888e-13,287.0,5190.0
9.0,8.0,0.15912359,8.22e-6,7.748e-14,286.0,510.0
9.0,10.0,0.1594316,6.908e-8,6.538e-14,286.0,430.0
9.0,8.0,0.15967399,3.581e-5,2.719e-12,285.0,17889.0
9.0,9.0,0.15993416,2.046e-5,5.743e-12,285.0,37785.0
9.0,8.0,0.1604996,0.0002587,8.541e-13,284.0,5619.0
9.0,10.0,0.161009,8.806e-5,4.211e-12,283.0,27706.0
9.0,9.0,0.16112427,7.954e-6,4.735e-13,283.0,3115.0
9.0,8.0,0.16115252,4.85e-7,1.002e-12,283.0,6593.0
9.0,10.0,0.16197038,5.572e-7,1.078e-13,281.0,709.0
9.0,8.0,0.16254403,8.034e-5,1.23e-12,280.0,8093.0
9.0,10.0,0.16353184,2.61e-6,6.663e-13,279.0,4384.0
9.0,8.0,0.1637232,2.031e-6,2.465e-12,278.0,16218.0
9.0,9.0,0.16407996,2.267e-5,2.95e-12,278.0,19409.0
9.0,8.0,0.1643333,2.081e-5,6.167e-13,277.0,4058.0
9.0,9.0,0.16471557,0.0001295,1.84e-12,277.0,12106.0
9.0,10.0,0.16476615,0.0001586,2.498e-12,276.0,16435.0
9.0,8.0,0.1647707,2.671e-5,3.742e-13,276.0,2462.0
9.0,8.0,0.1654013,6.27e-5,2.335e-12,275.0,15363.0
9.0,9.0,0.16575897,5.113e-5,1.081e-12,275.0,7112.0
9.0,9.0,0.16611983,4.893e-5,2.159e-12,274.0,14205.0
9.0,8.0,0.16635813,0.0001032,1.014e-12,274.0,6671.0
9.0,8.0,0.16662331,1.508e-7,1.046e-11,273.0,68820.0
9.0,10.0,0.16678232,0.0006753,1.358e-12,273.0,8935.0
9.0,10.0,0.16692767,1.366e-6,8.173e-13,273.0,5377.0
9.0,9.0,0.16698872,4.125e-5,1.135e-12,273.0,7468.0
9.0,9.0,0.16719558,2.141e-5,1.347e-11,272.0,88624.0
9.0,8.0,0.16733136,2.357e-5,2.671e-12,272.0,17574.0
9.0,10.0,0.16741337,6.212e-5,1.654e-12,272.0,10882.0
9.0,9.0,0.16742978,0.0005818,3.272e-12,272.0,21528.0
9.0,8.0,0.16762798,1.647e-6,3.615e-13,272.0,2378.0
9.0,9.0,0.16789452,4.954e-6,2.467e-12,271.0,16231.0
9.0,8.0,0.16906595,1.431e-5,7.057e-13,269.0,4643.0
9.0,10.0,0.16933751,3.354e-6,1.576e-12,269.0,10369.0
9.0,8.0,0.1693735,4.094e-5,1.728e-12,269.0,11369.0
9.0,9.0,0.17013669,7.939e-5,1.801e-12,268.0,11849.0
