J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,9.0,0.42701743,1.101e-9,0.0,107.0,0.0
9.0,10.0,0.42925914,4.31e-9,0.0,106.0,0.0
9.0,8.0,0.43206721,7.982e-10,0.0,105.0,0.0
9.0,8.0,0.43415446,1.329e-8,0.0,105.0,0.0
9.0,9.0,0.43508167,6.587e-9,0.0,105.0,0.0
9.0,8.0,0.43919057,4.104e-9,0.0,104.0,0.0
9.0,8.0,0.48675544,4.939e-12,0.0,94.0,0.0
9.0,8.0,0.49321722,5.934e-10,0.0,92.0,0.0
9.0,9.0,0.49639162,1.26e-9,0.0,92.0,0.0
9.0,8.0,0.5041155,3.801e-10,0.0,90.0,0.0
9.0,9.0,0.066468664,50.62,4.928e-10,685.0,3.242321e6
9.0,8.0,0.068377628,14.78,4.833e-10,666.0,3.179817e6
9.0,8.0,0.075792459,0.03372,1.249e-10,601.0,821765.0
9.0,8.0,0.086338991,0.004734,4.243e-10,528.0,2.791633e6
9.0,9.0,0.094522018,22.56,5.727e-10,482.0,3.768014e6
9.0,8.0,0.094718259,13.0,3.758e-10,481.0,2.472533e6
9.0,10.0,0.095378016,23.69,5.212e-10,478.0,3.429176e6
9.0,10.0,0.095843399,3.345,6.131e-10,475.0,4.033821e6
9.0,9.0,0.095646292,0.8198,2.91e-10,476.0,1.914601e6
9.0,8.0,0.097357512,0.01238,1.051e-10,468.0,691493.0
9.0,8.0,0.098599157,0.04791,2.238e-11,462.0,147247.0
9.0,9.0,0.098611915,0.09153,3.129e-11,462.0,205869.0
9.0,8.0,0.099198314,0.05065,2.401e-11,459.0,157971.0
9.0,9.0,0.099291263,0.4504,1.448e-10,459.0,952695.0
9.0,10.0,0.099571022,1.346,4.192e-10,457.0,2.758078e6
9.0,8.0,0.11437726,0.002162,9.086e-11,398.0,597803.0
9.0,9.0,0.11449391,0.0006106,2.956e-10,398.0,1.944866e6
9.0,10.0,0.11495683,0.002605,7.409e-10,396.0,4.874667e6
9.0,9.0,0.11530812,0.0001756,2.898e-11,395.0,190671.0
9.0,8.0,0.11534412,0.000348,5.643e-12,395.0,37127.0
9.0,8.0,0.11648274,7.424e-7,2.95e-14,391.0,194.0
9.0,8.0,0.11734936,3.253e-5,8.583e-14,388.0,565.0
9.0,9.0,0.11760314,7.879e-6,4.814e-13,387.0,3167.0
9.0,8.0,0.12877845,6.136e-5,9.901e-15,354.0,65.0
9.0,8.0,0.12915207,3.91e-5,5.756e-15,353.0,38.0
9.0,9.0,0.12924456,6.708e-6,1.201e-14,352.0,79.0
9.0,8.0,0.13045928,1.005e-7,2.584e-16,349.0,2.0
9.0,8.0,0.14010912,3.403e-6,1.605e-15,325.0,11.0
9.0,9.0,0.15448935,0.0005527,4.531e-10,295.0,2.98112e6
9.0,8.0,0.15514136,7.694e-5,4.305e-14,294.0,283.0
9.0,8.0,0.15533409,0.0001166,5.004e-10,293.0,3.292325e6
9.0,8.0,0.16231211,1.71e-5,1.233e-10,281.0,811238.0
9.0,8.0,0.17343684,6.12e-5,4.242e-10,263.0,2.790975e6
9.0,8.0,0.18059574,0.001563,5.229e-13,252.0,3440.0
9.0,9.0,0.18093564,0.0003881,4.139e-13,252.0,2723.0
9.0,8.0,0.18171022,1.014e-6,1.527e-11,251.0,100467.0
9.0,10.0,0.18265474,2.942e-5,6.09e-10,249.0,4.006846e6
9.0,9.0,0.18272263,4.074e-5,5.34e-10,249.0,3.513392e6
9.0,8.0,0.18283836,0.0002129,3.261e-10,249.0,2.145538e6
9.0,10.0,0.18329855,0.0001372,5.783e-10,249.0,3.804859e6
9.0,9.0,0.18357421,0.0001031,3.271e-10,248.0,2.152117e6
9.0,8.0,0.18396104,8.564e-5,9.512e-11,248.0,625831.0
9.0,9.0,0.18408042,1.175e-5,2.852e-11,247.0,187644.0
9.0,10.0,0.18426449,0.0005951,4.743e-10,247.0,3.120603e6
9.0,8.0,0.18455564,3.327e-5,3.677e-11,247.0,241924.0
9.0,8.0,0.18491696,1.913e-5,4.055e-13,246.0,2668.0
9.0,9.0,0.1851548,6.453e-5,3.866e-10,246.0,2.543591e6
9.0,10.0,0.18528511,2.033e-6,3.46e-10,246.0,2.276467e6
9.0,9.0,0.18538763,5.011e-6,1.467e-10,246.0,965196.0
9.0,8.0,0.18561408,8.593e-7,3.694e-11,245.0,243043.0
9.0,8.0,0.18613396,7.638e-7,5.543e-10,245.0,3.646954e6
9.0,8.0,0.18869598,1.097e-5,3.79e-13,241.0,2494.0
9.0,9.0,0.19216471,6.49e-7,1.25e-10,237.0,822423.0
9.0,8.0,0.20119262,3.406e-7,0.0,226.0,0.0
9.0,9.0,0.20138353,1.862e-6,0.0,226.0,0.0
9.0,8.0,0.20157489,5.922e-6,0.0,226.0,0.0
9.0,10.0,0.20185146,2.433e-5,0.0,226.0,0.0
9.0,9.0,0.20194441,1.166e-5,0.0,226.0,0.0
9.0,8.0,0.20219592,1.182e-5,0.0,225.0,0.0
9.0,9.0,0.20304021,2.748e-7,0.0,224.0,0.0
9.0,8.0,0.20315959,6.147e-7,0.0,224.0,0.0
9.0,8.0,0.20428819,3.924e-7,0.0,223.0,0.0
9.0,9.0,0.20504272,1.397e-5,0.0,222.0,0.0
9.0,8.0,0.20507005,6.188e-6,0.0,222.0,0.0
9.0,8.0,0.20548878,5.698e-5,0.0,222.0,0.0
9.0,9.0,0.20588062,1.432e-5,0.0,221.0,0.0
9.0,8.0,0.20628386,7.462e-7,0.0,221.0,0.0
9.0,10.0,0.20781752,9.259e-7,0.0,219.0,0.0
9.0,8.0,0.20869325,1.115e-6,0.0,218.0,0.0
9.0,9.0,0.20885773,2.827e-8,0.0,218.0,0.0
9.0,8.0,0.21198975,1.053e-6,0.0,215.0,0.0
9.0,8.0,0.21216061,0.0001577,0.0,215.0,0.0
9.0,10.0,0.21263128,1.509e-5,0.0,214.0,0.0
9.0,9.0,0.21265406,7.544e-5,0.0,214.0,0.0
9.0,10.0,0.21343684,2.5e-5,0.0,213.0,0.0
9.0,10.0,0.21380089,9.158e-6,0.0,213.0,0.0
9.0,9.0,0.21389976,3.62e-5,0.0,213.0,0.0
9.0,8.0,0.21402552,2.913e-5,0.0,213.0,0.0
9.0,9.0,0.21455769,1.807e-5,0.0,212.0,0.0
9.0,10.0,0.21482059,7.554e-7,0.0,212.0,0.0
9.0,8.0,0.21512769,4.731e-6,0.0,212.0,0.0
9.0,10.0,0.2153833,6.07e-8,0.0,211.0,0.0
9.0,8.0,0.21540335,1.452e-7,0.0,211.0,0.0
9.0,9.0,0.21558834,8.158e-6,0.0,211.0,0.0
9.0,9.0,0.21568812,2.978e-8,0.0,211.0,0.0
9.0,8.0,0.21571318,1.02e-6,0.0,211.0,0.0
9.0,8.0,0.21592186,4.958e-8,0.0,211.0,0.0
9.0,8.0,0.21707233,1.518e-7,0.0,210.0,0.0
9.0,9.0,0.21718077,1.089e-7,0.0,210.0,0.0
9.0,8.0,0.21773892,2.186e-7,0.0,209.0,0.0
9.0,8.0,0.21794168,9.624e-5,0.0,209.0,0.0
9.0,8.0,0.22013145,6.845e-6,0.0,207.0,0.0
9.0,8.0,0.22240506,1.97e-9,0.0,205.0,0.0
9.0,10.0,0.22684383,7.571e-6,0.0,201.0,0.0
9.0,9.0,0.22699647,4.818e-7,0.0,201.0,0.0
9.0,8.0,0.22716824,3.321e-8,0.0,201.0,0.0
9.0,9.0,0.23263584,6.927e-8,0.0,196.0,0.0
9.0,10.0,0.23278802,6.806e-7,0.0,196.0,0.0
9.0,8.0,0.23324957,3.929e-10,0.0,195.0,0.0
9.0,9.0,0.23334617,3.939e-8,0.0,195.0,0.0
9.0,10.0,0.23364461,3.928e-6,0.0,195.0,0.0
9.0,8.0,0.2336765,3.039e-6,0.0,195.0,0.0
9.0,9.0,0.2338911,1.283e-8,0.0,195.0,0.0
9.0,9.0,0.23399863,4.719e-6,0.0,195.0,0.0
9.0,8.0,0.23407564,1.201e-6,0.0,195.0,0.0
9.0,10.0,0.2344087,3.904e-7,0.0,194.0,0.0
9.0,9.0,0.2347969,1.749e-5,0.0,194.0,0.0
9.0,9.0,0.23495182,7.098e-7,0.0,194.0,0.0
9.0,10.0,0.23503383,1.0e-5,0.0,194.0,0.0
9.0,8.0,0.23537464,2.21e-7,0.0,194.0,0.0
9.0,8.0,0.23612325,1.112e-9,0.0,193.0,0.0
9.0,9.0,0.23674154,5.915e-6,0.0,192.0,0.0
9.0,10.0,0.23678711,1.541e-6,0.0,192.0,0.0
9.0,10.0,0.23753207,2.278e-7,0.0,192.0,0.0
9.0,8.0,0.237543,7.806e-8,0.0,192.0,0.0
9.0,9.0,0.23796674,2.231e-6,0.0,191.0,0.0
9.0,9.0,0.23840506,5.647e-9,0.0,191.0,0.0
9.0,8.0,0.23852124,9.01e-8,0.0,191.0,0.0
9.0,10.0,0.23862558,7.707e-9,0.0,191.0,0.0
9.0,8.0,0.24036063,3.024e-7,0.0,190.0,0.0
9.0,9.0,0.24268846,2.787e-8,0.0,188.0,0.0
9.0,10.0,0.24309762,1.313e-6,0.0,187.0,0.0
9.0,8.0,0.24353366,3.646e-8,0.0,187.0,0.0
9.0,9.0,0.24386035,9.565e-7,0.0,187.0,0.0
9.0,8.0,0.24400068,5.512e-7,0.0,187.0,0.0
9.0,10.0,0.24421529,8.109e-7,0.0,187.0,0.0
9.0,8.0,0.24459027,4.314e-10,0.0,186.0,0.0
9.0,9.0,0.24464404,3.174e-6,0.0,186.0,0.0
9.0,10.0,0.24470281,2.117e-8,0.0,186.0,0.0
9.0,9.0,0.24544595,1.626e-7,0.0,186.0,0.0
9.0,8.0,0.24583734,1.95e-7,0.0,185.0,0.0
9.0,8.0,0.24587652,3.153e-7,0.0,185.0,0.0
9.0,9.0,0.24606424,8.884e-6,0.0,185.0,0.0
9.0,8.0,0.24611755,1.751e-5,0.0,185.0,0.0
9.0,10.0,0.2463276,3.27e-5,0.0,185.0,0.0
9.0,9.0,0.24665383,1.445e-5,0.0,185.0,0.0
9.0,8.0,0.24705297,2.826e-6,0.0,184.0,0.0
9.0,9.0,0.24714956,1.81e-6,0.0,184.0,0.0
9.0,8.0,0.24753275,3.334e-8,0.0,184.0,0.0
9.0,8.0,0.24781114,1.052e-7,0.0,184.0,0.0
9.0,9.0,0.24826495,2.769e-8,0.0,183.0,0.0
9.0,10.0,0.24831917,2.813e-6,0.0,183.0,0.0
9.0,8.0,0.24870464,1.997e-7,0.0,183.0,0.0
9.0,9.0,0.24878619,1.396e-6,0.0,183.0,0.0
9.0,8.0,0.2490254,4.991e-7,0.0,183.0,0.0
9.0,9.0,0.24910058,6.461e-8,0.0,183.0,0.0
9.0,8.0,0.2495954,3.105e-7,0.0,183.0,0.0
9.0,8.0,0.249923,6.562e-7,0.0,182.0,0.0
9.0,9.0,0.25054311,7.083e-7,0.0,182.0,0.0
9.0,8.0,0.25189953,3.771e-7,0.0,181.0,0.0
9.0,8.0,0.25288643,5.765e-7,0.0,180.0,0.0
9.0,9.0,0.25297346,8.504e-7,0.0,180.0,0.0
9.0,8.0,0.2533161,6.011e-8,0.0,180.0,0.0
9.0,10.0,0.25431803,8.401e-9,0.0,179.0,0.0
9.0,8.0,0.25458868,3.582e-9,0.0,179.0,0.0
9.0,8.0,0.25485249,1.433e-6,0.0,179.0,0.0
9.0,10.0,0.25551498,2.706e-8,0.0,178.0,0.0
9.0,9.0,0.25551908,2.664e-6,0.0,178.0,0.0
9.0,9.0,0.2556339,1.052e-6,0.0,178.0,0.0
9.0,8.0,0.25595558,1.772e-9,0.0,178.0,0.0
9.0,10.0,0.25605855,1.079e-7,0.0,178.0,0.0
9.0,9.0,0.25621711,6.928e-7,0.0,178.0,0.0
9.0,8.0,0.25633421,9.219e-10,0.0,178.0,0.0
9.0,8.0,0.25697756,6.33e-8,0.0,177.0,0.0
9.0,10.0,0.25714706,2.194e-8,0.0,177.0,0.0
9.0,8.0,0.25728147,9.655e-8,0.0,177.0,0.0
9.0,9.0,0.25745689,1.365e-7,0.0,177.0,0.0
9.0,8.0,0.26938262,1.149e-6,0.0,169.0,0.0
9.0,8.0,0.27613282,4.577e-8,0.0,165.0,0.0
9.0,9.0,0.27653377,3.864e-7,0.0,165.0,0.0
9.0,9.0,0.27675612,8.29e-9,0.0,165.0,0.0
9.0,8.0,0.27686639,1.77e-7,0.0,165.0,0.0
9.0,10.0,0.2775512,4.791e-7,0.0,164.0,0.0
9.0,8.0,0.27779269,3.909e-9,0.0,164.0,0.0
9.0,8.0,0.27829616,5.885e-9,0.0,164.0,0.0
9.0,9.0,0.27853127,2.435e-7,0.0,164.0,0.0
9.0,8.0,0.27884019,3.2e-8,0.0,163.0,0.0
9.0,10.0,0.27889395,1.716e-7,0.0,163.0,0.0
9.0,9.0,0.27946167,1.997e-7,0.0,163.0,0.0
9.0,10.0,0.27948764,6.415e-8,0.0,163.0,0.0
9.0,8.0,0.27961021,1.306e-7,0.0,163.0,0.0
9.0,9.0,0.28015104,1.79e-12,0.0,163.0,0.0
9.0,8.0,0.28047181,1.511e-8,0.0,162.0,0.0
9.0,8.0,0.28652307,1.569e-7,0.0,159.0,0.0
9.0,9.0,0.28898758,0.0001571,0.0,158.0,0.0
9.0,8.0,0.289846,1.605e-5,0.0,157.0,0.0
9.0,8.0,0.29504613,1.936e-11,0.0,154.0,0.0
9.0,8.0,0.29679166,3.456e-7,0.0,153.0,0.0
9.0,8.0,0.29700945,9.829e-11,0.0,153.0,0.0
9.0,9.0,0.29714113,2.372e-9,0.0,153.0,0.0
9.0,10.0,0.29753161,7.819e-7,0.0,153.0,0.0
9.0,8.0,0.29778403,2.753e-7,0.0,153.0,0.0
9.0,9.0,0.2981982,1.381e-11,0.0,153.0,0.0
9.0,8.0,0.29844014,8.743e-7,0.0,153.0,0.0
9.0,9.0,0.2988051,2.049e-12,0.0,152.0,0.0
9.0,8.0,0.29950085,1.971e-8,0.0,152.0,0.0
9.0,10.0,0.29973232,2.231e-9,0.0,152.0,0.0
9.0,9.0,0.29975191,3.928e-12,0.0,152.0,0.0
9.0,8.0,0.30183324,1.376e-8,0.0,151.0,0.0
9.0,8.0,0.30577856,6.749e-9,0.0,149.0,0.0
9.0,9.0,0.30609113,4.539e-8,0.0,149.0,0.0
9.0,8.0,0.30627247,2.428e-8,0.0,149.0,0.0
9.0,10.0,0.30668527,1.07e-9,0.0,149.0,0.0
9.0,8.0,0.30802438,3.511e-9,0.0,148.0,0.0
9.0,8.0,0.31366967,3.349e-8,0.0,145.0,0.0
9.0,10.0,0.31694567,4.244e-5,0.0,144.0,0.0
9.0,8.0,0.31722497,2.695e-5,0.0,144.0,0.0
9.0,9.0,0.31738398,7.104e-5,0.0,144.0,0.0
9.0,10.0,0.31788974,1.333e-5,0.0,143.0,0.0
9.0,9.0,0.31802369,2.652e-6,0.0,143.0,0.0
9.0,8.0,0.31866614,1.328e-8,0.0,143.0,0.0
9.0,9.0,0.3187035,1.175e-6,0.0,143.0,0.0
9.0,10.0,0.31938968,9.876e-7,0.0,143.0,0.0
9.0,8.0,0.31948035,1.947e-8,0.0,143.0,0.0
9.0,9.0,0.32020481,2.154e-7,0.0,142.0,0.0
9.0,8.0,0.32025083,1.358e-6,0.0,142.0,0.0
9.0,8.0,0.32043718,1.001e-6,0.0,142.0,0.0
9.0,9.0,0.32050917,1.499e-6,0.0,142.0,0.0
9.0,8.0,0.32115571,3.552e-7,0.0,142.0,0.0
9.0,8.0,0.32250985,4.036e-8,0.0,141.0,0.0
9.0,9.0,0.32686297,1.59e-5,0.0,139.0,0.0
9.0,8.0,0.32699419,3.167e-6,0.0,139.0,0.0
9.0,9.0,0.32755416,1.824e-6,0.0,139.0,0.0
9.0,8.0,0.32779975,1.681e-7,0.0,139.0,0.0
9.0,10.0,0.32824217,2.797e-9,0.0,139.0,0.0
9.0,10.0,0.32843581,1.418e-8,0.0,139.0,0.0
9.0,9.0,0.32860075,9.233e-9,0.0,139.0,0.0
9.0,8.0,0.32870828,1.852e-6,0.0,139.0,0.0
9.0,8.0,0.32878938,1.3e-8,0.0,139.0,0.0
9.0,8.0,0.32908646,4.81e-8,0.0,138.0,0.0
9.0,9.0,0.3291466,3.488e-9,0.0,138.0,0.0
9.0,10.0,0.32922907,1.436e-8,0.0,138.0,0.0
9.0,8.0,0.32925595,6.886e-10,0.0,138.0,0.0
9.0,9.0,0.32936804,1.051e-9,0.0,138.0,0.0
9.0,10.0,0.32986103,6.565e-9,0.0,138.0,0.0
9.0,9.0,0.3300934,1.201e-9,0.0,138.0,0.0
9.0,8.0,0.33009705,2.335e-7,0.0,138.0,0.0
9.0,8.0,0.33048206,2.098e-7,0.0,138.0,0.0
9.0,9.0,0.33053582,3.679e-7,0.0,138.0,0.0
9.0,10.0,0.33056498,1.825e-10,0.0,138.0,0.0
9.0,9.0,0.33079417,1.979e-10,0.0,138.0,0.0
9.0,8.0,0.33118829,9.287e-8,0.0,138.0,0.0
9.0,8.0,0.33183939,6.076e-8,0.0,137.0,0.0
9.0,9.0,0.33233831,1.153e-7,0.0,137.0,0.0
9.0,8.0,0.3324021,3.971e-8,0.0,137.0,0.0
9.0,8.0,0.33325048,6.666e-8,0.0,137.0,0.0
9.0,8.0,0.33401914,1.804e-7,0.0,136.0,0.0
9.0,8.0,0.33611414,4.445e-9,0.0,136.0,0.0
9.0,9.0,0.35454995,2.097e-7,0.0,128.0,0.0
9.0,10.0,0.35461283,5.596e-6,0.0,128.0,0.0
9.0,8.0,0.35540289,2.123e-6,0.0,128.0,0.0
9.0,9.0,0.35540699,6.589e-6,0.0,128.0,0.0
9.0,8.0,0.35554596,8.155e-7,0.0,128.0,0.0
9.0,10.0,0.35560656,3.197e-6,0.0,128.0,0.0
9.0,9.0,0.3558608,1.677e-6,0.0,128.0,0.0
9.0,8.0,0.3560467,5.559e-8,0.0,128.0,0.0
9.0,10.0,0.3562727,1.366e-7,0.0,128.0,0.0
9.0,10.0,0.35669416,1.897e-7,0.0,128.0,0.0
9.0,9.0,0.3567101,7.733e-9,0.0,128.0,0.0
9.0,9.0,0.35707825,4.761e-8,0.0,128.0,0.0
9.0,8.0,0.35726142,1.446e-7,0.0,128.0,0.0
9.0,8.0,0.35748377,7.03e-7,0.0,127.0,0.0
9.0,9.0,0.35758629,2.058e-8,0.0,127.0,0.0
9.0,8.0,0.35775122,8.435e-7,0.0,127.0,0.0
9.0,8.0,0.35839822,4.347e-7,0.0,127.0,0.0
9.0,9.0,0.35888575,1.173e-8,0.0,127.0,0.0
9.0,8.0,0.35981934,2.543e-8,0.0,127.0,0.0
9.0,8.0,0.36149516,1.135e-10,0.0,126.0,0.0
9.0,9.0,0.36204784,1.579e-9,0.0,126.0,0.0
9.0,8.0,0.36270896,3.886e-8,0.0,126.0,0.0
9.0,8.0,0.36307484,4.041e-8,0.0,125.0,0.0
9.0,8.0,0.36685477,3.257e-8,0.0,124.0,0.0
9.0,8.0,0.36940585,2.023e-7,0.0,123.0,0.0
9.0,8.0,0.38852512,1.376e-9,0.0,117.0,0.0
9.0,8.0,0.38896754,3.681e-10,0.0,117.0,0.0
9.0,9.0,0.38898166,1.127e-9,0.0,117.0,0.0
9.0,8.0,0.39018954,1.298e-11,0.0,117.0,0.0
9.0,8.0,0.43857501,1.543e-10,0.0,104.0,0.0
9.0,9.0,0.46391685,8.548e-8,0.0,98.0,0.0
9.0,8.0,0.46429776,1.483e-7,0.0,98.0,0.0
9.0,8.0,0.46576991,1.93e-7,0.0,98.0,0.0
9.0,8.0,0.46638228,4.653e-9,0.0,98.0,0.0
9.0,8.0,0.48159585,1.721e-8,0.0,95.0,0.0
9.0,9.0,0.48193074,1.068e-8,0.0,95.0,0.0
9.0,8.0,0.48227019,3.882e-9,0.0,94.0,0.0
9.0,8.0,0.4832457,7.219e-9,0.0,94.0,0.0
9.0,8.0,0.48370316,2.89e-8,0.0,94.0,0.0
9.0,9.0,0.033666932,0.01035,1.067e-14,1353.0,70.0
9.0,8.0,0.040815355,0.0328,8.159e-14,1116.0,537.0
9.0,10.0,0.041037157,1.367e-5,6.861e-17,1110.0,0.0
9.0,9.0,0.046877093,0.09035,2.581e-13,972.0,1698.0
9.0,8.0,0.047281649,0.007461,5.833e-14,963.0,384.0
9.0,10.0,0.049116938,0.007884,2.423e-14,927.0,159.0
9.0,9.0,0.050040551,0.03446,1.192e-13,910.0,784.0
9.0,8.0,0.052000228,0.02356,3.126e-13,876.0,2057.0
9.0,9.0,0.052215286,0.1086,4.217e-13,872.0,2775.0
9.0,8.0,0.054331701,0.004757,2.786e-14,838.0,183.0
9.0,9.0,0.055524137,0.02157,2.186e-13,820.0,1438.0
9.0,10.0,0.056776672,0.0106,5.73e-14,802.0,377.0
9.0,8.0,0.057260371,0.1759,1.028e-12,796.0,6764.0
9.0,8.0,0.059628887,0.1129,7.901e-13,764.0,5198.0
9.0,8.0,0.060266773,0.02913,2.735e-13,756.0,1799.0
9.0,9.0,0.061477116,0.02181,2.51e-13,741.0,1651.0
9.0,9.0,0.062592778,0.06427,7.848e-13,728.0,5164.0
9.0,8.0,0.062905342,0.007422,3.561e-13,724.0,2343.0
9.0,10.0,0.062578289,0.00825,9.69e-14,728.0,638.0
9.0,10.0,0.064400501,0.07782,5.108e-13,707.0,3361.0
9.0,9.0,0.066008839,0.0766,2.001e-12,690.0,13165.0
9.0,8.0,0.066649049,0.002576,7.639e-13,683.0,5026.0
9.0,8.0,0.067285294,0.002412,5.654e-14,677.0,372.0
9.0,9.0,0.067177173,0.03451,1.082e-12,678.0,7119.0
9.0,8.0,0.068749653,0.02876,1.688e-12,663.0,11106.0
9.0,8.0,0.069535118,0.01613,1.839e-13,655.0,1210.0
9.0,9.0,0.069778745,0.2295,2.381e-12,653.0,15666.0
9.0,10.0,0.070701857,0.003513,3.745e-13,644.0,2464.0
9.0,8.0,0.070607814,0.001709,6.626e-13,645.0,4360.0
9.0,9.0,0.072005012,0.01071,2.131e-13,633.0,1402.0
9.0,10.0,0.072290193,0.009834,4.354e-13,630.0,2865.0
9.0,9.0,0.073967058,0.4995,6.076e-12,616.0,39976.0
9.0,8.0,0.074359403,0.02873,1.464e-12,613.0,9632.0
9.0,8.0,0.074980339,0.001085,4.163e-13,608.0,2739.0
9.0,10.0,0.074977697,0.0007858,3.94e-14,608.0,259.0
9.0,8.0,0.076105114,0.02585,9.363e-13,599.0,6160.0
9.0,9.0,0.076504659,0.2911,7.254e-12,595.0,47727.0
9.0,8.0,0.077312313,0.01135,1.758e-13,589.0,1157.0
9.0,9.0,0.07797658,0.1531,2.281e-12,584.0,15008.0
9.0,9.0,0.078733022,0.002422,1.809e-13,579.0,1190.0
9.0,8.0,0.078705001,0.3207,5.204e-12,579.0,34239.0
9.0,8.0,0.079433694,0.4043,7.785e-12,573.0,51221.0
9.0,10.0,0.080494589,0.01704,3.531e-13,566.0,2323.0
9.0,8.0,0.080546987,0.05303,1.015e-12,566.0,6678.0
9.0,9.0,0.08125905,0.05451,1.263e-12,561.0,8310.0
9.0,8.0,0.081734822,0.2247,3.766e-12,557.0,24778.0
9.0,9.0,0.082935687,0.00275,3.753e-12,549.0,24692.0
9.0,8.0,0.083676182,0.005194,6.141e-13,544.0,4040.0
9.0,8.0,0.084537874,0.4846,9.476e-12,539.0,62346.0
9.0,9.0,0.085280055,0.1534,4.174e-12,534.0,27462.0
9.0,10.0,0.085675772,0.01611,6.208e-13,532.0,4084.0
9.0,8.0,0.085224285,0.0558,1.316e-12,534.0,8658.0
9.0,8.0,0.086315754,0.04202,9.52e-13,528.0,6264.0
9.0,9.0,0.085918442,0.1036,2.785e-12,530.0,18324.0
9.0,8.0,0.087831325,0.09148,1.982e-12,519.0,13040.0
9.0,10.0,0.088453947,0.008025,9.651e-13,515.0,6350.0
9.0,9.0,0.087697915,0.03202,6.379e-12,519.0,41970.0
9.0,8.0,0.088416266,0.2942,1.328e-11,515.0,87374.0
9.0,8.0,0.089656088,0.01959,4.165e-12,508.0,27403.0
9.0,9.0,0.090170634,0.0154,2.861e-12,505.0,18824.0
9.0,8.0,0.090973414,0.3157,1.341e-11,501.0,88230.0
9.0,9.0,0.09098075,0.05007,2.682e-12,501.0,17646.0
9.0,8.0,0.092280305,0.01647,9.957e-13,494.0,6551.0
9.0,9.0,0.092348331,0.002259,2.791e-12,493.0,18363.0
9.0,10.0,0.093485499,0.00422,1.03e-12,487.0,6777.0
9.0,8.0,0.093227702,0.008731,6.856e-13,489.0,4511.0
9.0,8.0,0.093983779,0.1824,8.136e-12,485.0,53530.0
9.0,9.0,0.094522018,0.01388,9.433e-13,482.0,6206.0
9.0,8.0,0.094931268,0.3599,1.016e-11,480.0,66847.0
9.0,8.0,0.096207404,0.1161,8.136e-12,473.0,53530.0
9.0,9.0,0.096557467,0.1897,6.86e-12,472.0,45135.0
9.0,8.0,0.096477002,0.02511,5.447e-12,472.0,35838.0
9.0,10.0,0.096819911,9.028e-5,6.97e-15,470.0,46.0
9.0,8.0,0.097055473,0.9346,3.217e-11,469.0,211659.0
9.0,8.0,0.098293427,0.01375,3.355e-12,463.0,22074.0
9.0,8.0,0.099195125,0.03856,9.815e-12,459.0,64577.0
9.0,10.0,0.099200592,0.0005728,6.173e-13,459.0,4061.0
9.0,10.0,0.099355507,0.002981,5.501e-13,458.0,3619.0
9.0,8.0,0.099516346,0.1456,6.154e-12,458.0,40490.0
9.0,9.0,0.099598815,0.03375,1.671e-12,457.0,10994.0
9.0,9.0,0.09992596,0.03773,1.484e-12,456.0,9764.0
9.0,9.0,0.10095204,0.003582,6.092e-12,451.0,40082.0
9.0,9.0,0.10203007,0.0283,4.889e-12,446.0,32167.0
9.0,8.0,0.10224969,0.003667,9.858e-12,445.0,64860.0
9.0,8.0,0.1032097,0.07199,4.922e-12,441.0,32384.0
9.0,9.0,0.10341702,0.04058,4.023e-12,440.0,26469.0
9.0,8.0,0.10396924,0.2354,9.449e-12,438.0,62169.0
9.0,8.0,0.10431644,0.01699,2.906e-12,437.0,19120.0
9.0,8.0,0.10449504,0.01237,3.556e-12,436.0,23396.0
9.0,8.0,0.10525094,0.0723,4.453e-12,433.0,29298.0
9.0,9.0,0.10598223,0.0009478,2.263e-12,430.0,14889.0
9.0,8.0,0.1059959,0.01701,6.86e-12,430.0,45135.0
9.0,10.0,0.10735642,0.0003054,9.334e-13,424.0,6141.0
9.0,8.0,0.1074398,0.1323,7.653e-12,424.0,50352.0
9.0,8.0,0.10826768,0.003384,1.265e-11,421.0,83229.0
9.0,9.0,0.10846087,0.02383,2.743e-12,420.0,18047.0
9.0,8.0,0.10900854,0.04659,2.438e-11,418.0,160405.0
9.0,9.0,0.11000137,0.003618,4.739e-12,414.0,31180.0
9.0,8.0,0.1102383,0.01387,2.296e-12,413.0,15106.0
9.0,8.0,0.11107119,2.729e-7,3.274e-12,410.0,21541.0
9.0,9.0,0.1112899,1.277e-5,3.756e-12,409.0,24712.0
9.0,10.0,0.11180658,0.1255,4.943e-12,407.0,32522.0
9.0,9.0,0.11222394,0.0003417,1.366e-12,406.0,8987.0
9.0,8.0,0.11225174,0.05415,2.6e-12,406.0,17106.0
9.0,8.0,0.11239481,0.0814,6.75e-12,405.0,44411.0
9.0,8.0,0.11389247,0.006408,6.61e-12,400.0,43490.0
9.0,8.0,0.114267,0.03215,1.186e-11,399.0,78032.0
9.0,8.0,0.11478733,0.4116,2.888e-11,397.0,190013.0
9.0,8.0,0.11659118,0.08293,1.374e-11,391.0,90401.0
9.0,10.0,0.11713384,1.643e-5,4.396e-12,389.0,28923.0
9.0,8.0,0.11727418,2.411e-6,8.797e-13,388.0,5788.0
9.0,9.0,0.11767377,0.04036,7.519e-12,387.0,49470.0
